date,ticker,company_name,quantity,price,market_value,weight
20260306,7011.T,Mitsubishi Heavy Industries,9,4748.517578125,42736.658203125,0.3898342580946577
20260306,8035.T,Tokyo Electron,1,41431.55859375,41431.55859375,0.3779294307321119
20260309,4568.T,Daiichi Sankyo,9,2811.078125,25299.703125,0.2409545824226465
20260309,7011.T,Mitsubishi Heavy Industries,9,4567.9921875,41111.9296875,0.3915503593657591
20260309,8035.T,Tokyo Electron,1,38586.17578125,38586.17578125,0.3674950582115944
20260310,4568.T,Daiichi Sankyo,9,2808.1181640625,25273.0634765625,0.2369008234215044
20260310,7011.T,Mitsubishi Heavy Industries,9,4635.81396484375,41722.32568359375,0.391090431861168
20260310,8035.T,Tokyo Electron,1,39686.65234375,39686.65234375,0.3720087447173275
20260311,4568.T,Daiichi Sankyo,9,2816.505126953125,25348.546142578125,0.2369776314403718
20260311,7011.T,Mitsubishi Heavy Industries,9,4603.8974609375,41435.0771484375,0.3873668488108058
20260311,8035.T,Tokyo Electron,1,40182.36328125,40182.36328125,0.3756555197488224
20260312,4568.T,Daiichi Sankyo,9,2861.3994140625,25752.5947265625,0.2382782297707704
20260312,7011.T,Mitsubishi Heavy Industries,9,4768.46484375,42916.18359375,0.3970859000350957
20260312,8035.T,Tokyo Electron,1,39409.0546875,39409.0546875,0.3646358701941339
20260313,4568.T,Daiichi Sankyo,9,2780.984130859375,25028.857177734375,0.2369415550622175
20260313,7011.T,Mitsubishi Heavy Industries,9,4732.5595703125,42593.0361328125,0.4032169804823407
20260313,8035.T,Tokyo Electron,1,38011.1484375,38011.1484375,0.3598414644554417
20260316,4568.T,Daiichi Sankyo,9,2736.583251953125,24629.249267578125,0.2313509751788238
20260316,7011.T,Mitsubishi Heavy Industries,9,4779.43603515625,43014.92431640625,0.4040539189695918
20260316,8035.T,Tokyo Electron,1,38814.203125,38814.203125,0.3645951058515843
20260317,4568.T,Daiichi Sankyo,9,2898.8935546875,26090.0419921875,0.2407913542860988
20260317,7011.T,Mitsubishi Heavy Industries,9,4868.20263671875,43813.82373046875,0.4043684542811818
20260317,8035.T,Tokyo Electron,1,38447.375,38447.375,0.3548401914327193
20260318,4568.T,Daiichi Sankyo,9,2937.37451171875,26436.37060546875,0.2376029425790607
20260318,7011.T,Mitsubishi Heavy Industries,9,4986.890625,44882.015625,0.4033874067105625
20260318,8035.T,Tokyo Electron,1,39944.421875,39944.421875,0.3590096507103766
20260319,4568.T,Daiichi Sankyo,9,2864.359375,25779.234375,0.2380584931011454
20260319,7011.T,Mitsubishi Heavy Industries,9,4835.28955078125,43517.60595703125,0.4018635909353025
20260319,8035.T,Tokyo Electron,1,38992.65625,38992.65625,0.360077915963552
20260320,4568.T,Daiichi Sankyo,9,2864.359375,25779.234375,0.2380584931011454
20260320,7011.T,Mitsubishi Heavy Industries,9,4835.28955078125,43517.60595703125,0.4018635909353025
20260320,8035.T,Tokyo Electron,1,38992.65625,38992.65625,0.360077915963552
20260323,4568.T,Daiichi Sankyo,9,2921.58740234375,26294.28662109375,0.2508704918371645
20260323,7011.T,Mitsubishi Heavy Industries,9,4505.1572265625,40546.4150390625,0.3868482621210697
20260323,8035.T,Tokyo Electron,1,37971.4921875,37971.4921875,0.3622812460417657
20260324,4568.T,Daiichi Sankyo,9,2969.935302734375,26729.417724609375,0.2538665170799967
20260324,7011.T,Mitsubishi Heavy Industries,9,4418.38525390625,39765.46728515625,0.3776782862892947
20260324,8035.T,Tokyo Electron,1,38794.375,38794.375,0.3684551966307086
20260325,4568.T,Daiichi Sankyo,9,2934.414306640625,26409.728759765625,0.2462692174219778
20260325,7011.T,Mitsubishi Heavy Industries,9,4535.07861328125,40815.70751953125,0.3806041493569849
20260325,8035.T,Tokyo Electron,1,40013.82421875,40013.82421875,0.3731266332210372
20260326,4568.T,Daiichi Sankyo,9,2836.23876953125,25526.14892578125,0.2403568009011429
20260326,7011.T,Mitsubishi Heavy Industries,9,4499.1728515625,40492.5556640625,0.3812820009796147
20260326,8035.T,Tokyo Electron,1,40182.36328125,40182.36328125,0.3783611981192423
20260327,4568.T,Daiichi Sankyo,9,2891.0,26019.0,0.2453303412316018
20260327,7011.T,Mitsubishi Heavy Industries,9,4565.0,41085.0,0.3873860282678182
20260327,8035.T,Tokyo Electron,1,38953.0,38953.0,0.3672836305005799
