date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20260102,normal,1,34025.62890625,-1456.1602812209694,-1862.2098340517668,-1746.036412214149,-2167.874042229373
20260102,stress,1,34025.62890625,-2435.0429187346945,-3310.40550219273,-2971.306621577325,-3732.306715518321
20260102,normal,10,34025.62890625,-4682.963823423327,-6561.538434723572,-5786.766605154819,-7830.872917303585
20260102,stress,10,34025.62890625,-7642.375024598725,-11290.162096737413,-10227.38539871312,-13789.14475672061
20260105,normal,1,36613.2421875,-1493.1428163139276,-2200.213728499564,-1898.9854227806095,-2454.2890412074244
20260105,stress,1,36613.2421875,-2535.658344961671,-3487.880609153158,-3135.901418053324,-3896.4019044414126
20260105,normal,10,36613.2421875,-5072.412514937312,-7518.464465423366,-6544.423361896457,-8612.883835125245
20260105,stress,10,36613.2421875,-7939.219494651185,-11039.220121870696,-9910.816527586192,-12455.59405538262
20260106,normal,1,37029.640625,-2084.6767629868673,-3217.2986370819276,-2755.481146630902,-3640.9038077131154
20260106,stress,1,37029.640625,-2377.400221370305,-3653.520580433731,-3162.136639980294,-4117.108162865943
20260106,normal,10,37029.640625,-5186.960619034037,-7828.845650706783,-6691.91905962583,-8693.730497387649
20260106,stress,10,37029.640625,-7743.793205391687,-10922.470539397053,-9873.792989843974,-13319.379514554612
20260107,normal,1,37842.60546875,-1898.3749986413509,-2649.695480874662,-2327.6480099236583,-2891.2450359510576
20260107,stress,1,37842.60546875,-2581.2733433525013,-3559.6145193704388,-3168.499504189801,-3970.4622380822634
20260107,normal,10,37842.60546875,-5114.131679335513,-7466.884575932488,-6677.187200082218,-8529.737813533815
20260107,stress,10,37842.60546875,-7940.13966274571,-10903.871246755623,-10000.784387782356,-13452.774660541272
20260108,normal,1,36325.73046875,-1688.665470855008,-2253.601890721032,-2088.8593203060327,-2710.308278917867
20260108,stress,1,36325.73046875,-2508.440673450034,-3621.351942335561,-3168.5064505362884,-4056.894545419525
20260108,normal,10,36325.73046875,-4985.556988634951,-7114.503495181255,-6319.65372009348,-7943.43727926539
20260108,stress,10,36325.73046875,-7748.221967257385,-10300.487292380414,-9274.356480517006,-11247.42938980378
20260109,normal,1,37584.8359375,-1893.9463975331869,-2809.4973299158864,-2460.844286791644,-3211.992560549885
20260109,stress,1,37584.8359375,-2346.1702662875587,-3298.0572580320427,-2943.595289665306,-3610.68884121228
20260109,normal,10,37584.8359375,-4980.108807617061,-7434.62992794763,-6387.389434607858,-8022.256287348755
20260109,stress,10,37584.8359375,-7828.249695792147,-10197.706203315707,-9539.20095275736,-12123.085182619956
